# Export File Created with QBlade CE v2.0.9.6_beta windows on 10.02.2026 at 09:12:19
NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40	NREL_5MW Simulation 11.40
Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]
7.9647226e+00	4.3667648e+01	7.9647226e+00	3.8689850e+01	7.9647226e+00	3.4286560e+01	7.9647226e+00	3.0406296e+01	7.9647226e+00	2.6990158e+01	7.9647226e+00	2.3979492e+01
9.1954660e+00	3.8643295e+01	9.1954660e+00	3.3286316e+01	9.1954660e+00	2.8656357e+01	9.1954660e+00	2.4640259e+01	9.1954660e+00	2.1163788e+01	9.1954660e+00	1.8176315e+01
1.0517196e+01	3.2755646e+01	1.0517196e+01	2.7006378e+01	1.0517196e+01	2.2094345e+01	1.0517196e+01	1.8018936e+01	1.0517196e+01	1.4614243e+01	1.0517196e+01	1.1726074e+01
1.1924694e+01	2.7260178e+01	1.1924694e+01	2.1158875e+01	1.1924694e+01	1.6298798e+01	1.1924694e+01	1.2336304e+01	1.1924694e+01	9.1991119e+00	1.1924694e+01	7.1280670e+00
1.3412408e+01	2.5083954e+01	1.3412408e+01	1.9106781e+01	1.3412408e+01	1.3869354e+01	1.3412408e+01	1.0108582e+01	1.3412408e+01	7.6501923e+00	1.3412408e+01	5.9095459e+00
1.4974464e+01	2.3199463e+01	1.4974464e+01	1.7145798e+01	1.4974464e+01	1.1696594e+01	1.4974464e+01	8.6183319e+00	1.4974464e+01	6.5400696e+00	1.4974464e+01	4.9989319e+00
1.6604700e+01	2.1246613e+01	1.6604700e+01	1.4674454e+01	1.6604700e+01	1.0194565e+01	1.6604700e+01	7.5445251e+00	1.6604700e+01	5.6852722e+00	1.6604700e+01	4.2767487e+00
1.8296680e+01	1.9345139e+01	1.8296680e+01	1.2810928e+01	1.8296680e+01	9.1575165e+00	1.8296680e+01	6.7513275e+00	1.8296680e+01	5.0262909e+00	1.8296680e+01	3.7196350e+00
2.0043728e+01	1.7577713e+01	2.0043728e+01	1.1553558e+01	2.0043728e+01	8.2657928e+00	2.0043728e+01	6.0701904e+00	2.0043728e+01	4.4647980e+00	2.0043728e+01	3.2457886e+00
2.1838949e+01	1.6258240e+01	2.1838949e+01	1.0598190e+01	2.1838949e+01	7.4496613e+00	2.1838949e+01	5.3893433e+00	2.1838949e+01	3.8720703e+00	2.1838949e+01	2.7159882e+00
2.3675257e+01	1.5313126e+01	2.3675257e+01	9.7359161e+00	2.3675257e+01	6.7500458e+00	2.3675257e+01	4.8017426e+00	2.3675257e+01	3.3598328e+00	2.3675257e+01	2.2587585e+00
2.5545404e+01	1.4319199e+01	2.5545404e+01	8.9774017e+00	2.5545404e+01	6.1465912e+00	2.5545404e+01	4.2227020e+00	2.5545404e+01	2.8317719e+00	2.5545404e+01	1.7768707e+00
2.7442015e+01	1.3478806e+01	2.7442015e+01	8.3595886e+00	2.7442015e+01	5.5986633e+00	2.7442015e+01	3.6983490e+00	2.7442015e+01	2.3459778e+00	2.7442015e+01	1.3255615e+00
2.9357597e+01	1.2771622e+01	2.9357597e+01	7.8784637e+00	2.9357597e+01	5.2312317e+00	2.9357597e+01	3.4074402e+00	2.9357597e+01	2.1014862e+00	2.9357597e+01	1.1117554e+00
3.1284595e+01	1.2075043e+01	3.1284595e+01	7.5331421e+00	3.1284595e+01	5.0212250e+00	3.1284595e+01	3.2822113e+00	3.1284595e+01	2.0223236e+00	3.1284595e+01	1.0651398e+00
3.3215405e+01	1.1462143e+01	3.3215405e+01	7.2643738e+00	3.3215405e+01	4.8382263e+00	3.3215405e+01	3.1437683e+00	3.3215405e+01	1.9103394e+00	3.3215405e+01	9.6852112e-01
3.5142403e+01	1.1051285e+01	3.5142403e+01	7.0326233e+00	3.5142403e+01	4.6734467e+00	3.5142403e+01	2.9788971e+00	3.5142403e+01	1.7487793e+00	3.5142403e+01	8.0226135e-01
3.7057987e+01	1.0767334e+01	3.7057987e+01	6.8807831e+00	3.7057987e+01	4.5845642e+00	3.7057987e+01	2.8919983e+00	3.7057987e+01	1.6610413e+00	3.7057987e+01	7.0356750e-01
3.8954594e+01	1.0499893e+01	3.8954594e+01	6.8133545e+00	3.8954594e+01	4.5789642e+00	3.8954594e+01	2.9138336e+00	3.8954594e+01	1.6902771e+00	3.8954594e+01	7.3616028e-01
4.0824745e+01	1.0260406e+01	4.0824745e+01	6.8123779e+00	4.0824745e+01	4.6349487e+00	4.0824745e+01	2.9982300e+00	4.0824745e+01	1.7763672e+00	4.0824745e+01	8.3512878e-01
4.2661053e+01	1.0059998e+01	4.2661053e+01	6.9445190e+00	4.2661053e+01	4.8252716e+00	4.2661053e+01	3.2633972e+00	4.2661053e+01	2.0614624e+00	4.2661053e+01	1.1180573e+00
4.4456272e+01	9.9413452e+00	4.4456272e+01	7.0816193e+00	4.4456272e+01	5.0067139e+00	4.4456272e+01	3.5295868e+00	4.4456272e+01	2.3556976e+00	4.4456272e+01	1.4105377e+00
4.6203320e+01	9.8483429e+00	4.6203320e+01	7.0818024e+00	4.6203320e+01	5.0553894e+00	4.6203320e+01	3.5986328e+00	4.6203320e+01	2.4274292e+00	4.6203320e+01	1.4938202e+00
4.7895298e+01	9.7661285e+00	4.7895298e+01	7.0795135e+00	4.7895298e+01	5.0990753e+00	4.7895298e+01	3.6585693e+00	4.7895298e+01	2.4880981e+00	4.7895298e+01	1.5697174e+00
4.9525536e+01	9.7136688e+00	4.9525536e+01	7.0992584e+00	4.9525536e+01	5.1600800e+00	4.9525536e+01	3.7317810e+00	4.9525536e+01	2.5625763e+00	4.9525536e+01	1.6581116e+00
5.1087593e+01	9.6853790e+00	5.1087593e+01	7.1363831e+00	5.1087593e+01	5.2345581e+00	5.1087593e+01	3.8154449e+00	5.1087593e+01	2.6483917e+00	5.1087593e+01	1.7562714e+00
5.2575306e+01	9.6791687e+00	5.2575306e+01	7.1892548e+00	5.2575306e+01	5.3211517e+00	5.2575306e+01	3.9085236e+00	5.2575306e+01	2.7441406e+00	5.2575306e+01	1.8629456e+00
5.3982803e+01	9.6908569e+00	5.3982803e+01	7.2542877e+00	5.3982803e+01	5.4167786e+00	5.3982803e+01	4.0087280e+00	5.3982803e+01	2.8473358e+00	5.3982803e+01	1.9757385e+00
5.5304535e+01	9.7161865e+00	5.5304535e+01	7.3277588e+00	5.5304535e+01	5.5181427e+00	5.5304535e+01	4.1138153e+00	5.5304535e+01	2.9552155e+00	5.5304535e+01	2.0919800e+00
5.6535278e+01	9.7562714e+00	5.6535278e+01	7.4137726e+00	5.6535278e+01	5.6329193e+00	5.6535278e+01	4.2354736e+00	5.6535278e+01	3.0790253e+00	5.6535278e+01	2.2198334e+00
5.7670177e+01	9.8090057e+00	5.7670177e+01	7.5108795e+00	5.7670177e+01	5.7605133e+00	5.7670177e+01	4.3750153e+00	5.7670177e+01	3.2200317e+00	5.7670177e+01	2.3598785e+00
5.8704758e+01	9.8771515e+00	5.8704758e+01	7.6246033e+00	5.8704758e+01	5.9098816e+00	5.8704758e+01	4.5462494e+00	5.8704758e+01	3.3955841e+00	5.8704758e+01	2.5250854e+00
5.9634930e+01	9.9799500e+00	5.9634930e+01	7.7831879e+00	5.9634930e+01	6.1241302e+00	5.9634930e+01	4.8013916e+00	5.9634930e+01	3.6887512e+00	5.9634930e+01	2.7781525e+00
6.0457031e+01	1.0096603e+01	6.0457031e+01	7.9557800e+00	6.0457031e+01	6.3574982e+00	6.0457031e+01	5.0846100e+00	6.0457031e+01	4.0470428e+00	6.0457031e+01	3.1103668e+00
6.1167809e+01	1.0196503e+01	6.1167809e+01	8.1027069e+00	6.1167809e+01	6.5515442e+00	6.1167809e+01	5.3260040e+00	6.1167809e+01	4.3326569e+00	6.1167809e+01	3.4553375e+00
6.1764462e+01	1.0292526e+01	6.1764462e+01	8.2399597e+00	6.1764462e+01	6.7285309e+00	6.1764462e+01	5.5424194e+00	6.1764462e+01	4.5851898e+00	6.1764462e+01	3.7721558e+00
6.2244633e+01	1.0384506e+01	6.2244633e+01	8.3674927e+00	6.2244633e+01	6.8895569e+00	6.2244633e+01	5.7363434e+00	6.2244633e+01	4.8091583e+00	6.2244633e+01	4.0408936e+00
6.2606430e+01	1.0455872e+01	6.2606430e+01	8.4656372e+00	6.2606430e+01	7.0121307e+00	6.2606430e+01	5.8825531e+00	6.2606430e+01	4.9768677e+00	6.2606430e+01	4.2368011e+00
6.2848423e+01	1.0503067e+01	6.2848423e+01	8.5305176e+00	6.2848423e+01	7.0926666e+00	6.2848423e+01	5.9779358e+00	6.2848423e+01	5.0883636e+00	6.2848423e+01	4.3620453e+00
6.2969662e+01	1.0526627e+01	6.2969662e+01	8.5628357e+00	6.2969662e+01	7.1325531e+00	6.2969662e+01	6.0254364e+00	6.2969662e+01	5.1434326e+00	6.2969662e+01	4.4232788e+00
